playlist,total,deduped,removed,m3u
Pop US/UK (500 titres),500,330,170,/app/playlists/reports/deduped/Pop_USUK_500_titres_deduped.m3u
Printemps Frais (500 titres),500,340,160,/app/playlists/reports/deduped/Printemps_Frais_500_titres_deduped.m3u
Punk & Garage (193 titres),193,159,34,/app/playlists/reports/deduped/Punk__Garage_193_titres_deduped.m3u
R&B (500 titres),500,318,182,/app/playlists/reports/deduped/RB_500_titres_deduped.m3u
Rage & Énergie (292 titres),292,236,56,/app/playlists/reports/deduped/Rage__nergie_292_titres_deduped.m3u
Rap & Hip-Hop (500 titres),500,374,126,/app/playlists/reports/deduped/Rap__Hip-Hop_500_titres_deduped.m3u
Rebond oublié (100 titres),100,67,33,/app/playlists/reports/deduped/Rebond_oubli_100_titres_deduped.m3u
Redécouvertes notées (80 titres),80,63,17,/app/playlists/reports/deduped/Redcouvertes_notes_80_titres_deduped.m3u
Reggae & Roots (500 titres),500,404,96,/app/playlists/reports/deduped/Reggae__Roots_500_titres_deduped.m3u
Reggaeton & Urban (248 titres),248,204,44,/app/playlists/reports/deduped/Reggaeton__Urban_248_titres_deduped.m3u
Relaxation (90 titres),90,53,37,/app/playlists/reports/deduped/Relaxation_90_titres_deduped.m3u
Remixes & Edits (500 titres),500,425,75,/app/playlists/reports/deduped/Remixes__Edits_500_titres_deduped.m3u
Repas entre amis (120 titres),120,58,62,/app/playlists/reports/deduped/Repas_entre_amis_120_titres_deduped.m3u
Repeat rewind (44 titres),44,20,24,/app/playlists/reports/deduped/Repeat_rewind_44_titres_deduped.m3u
Road trip (120 titres),120,54,66,/app/playlists/reports/deduped/Road_trip_120_titres_deduped.m3u
Rock Classique (260 titres),260,218,42,/app/playlists/reports/deduped/Rock_Classique_260_titres_deduped.m3u
Romantique (500 titres),500,402,98,/app/playlists/reports/deduped/Romantique_500_titres_deduped.m3u
Running & Workout (2463 titres),2463,1837,626,/app/playlists/reports/deduped/Running__Workout_2463_titres_deduped.m3u
Running (140 titres),140,123,17,/app/playlists/reports/deduped/Running_140_titres_deduped.m3u
Réveil Doux (500 titres),500,321,179,/app/playlists/reports/deduped/Rveil_Doux_500_titres_deduped.m3u
SUMMER HITS 2000-2022 (5 titres),5,5,0,/app/playlists/reports/deduped/SUMMER_HITS_2000-2022_5_titres_deduped.m3u
Session massage tantrique (100 titres),100,85,15,/app/playlists/reports/deduped/Session_massage_tantrique_100_titres_deduped.m3u
Sieste & Sommeil (500 titres),500,335,165,/app/playlists/reports/deduped/Sieste__Sommeil_500_titres_deduped.m3u
Slow love (100 titres),100,66,34,/app/playlists/reports/deduped/Slow_love_100_titres_deduped.m3u
Soirée & Fête (500 titres),500,418,82,/app/playlists/reports/deduped/Soire__Fte_500_titres_deduped.m3u
Soirée (107 titres),107,79,28,/app/playlists/reports/deduped/Soire_107_titres_deduped.m3u
Sweet spot perso (120 titres),120,72,48,/app/playlists/reports/deduped/Sweet_spot_perso_120_titres_deduped.m3u
Synthwave & Retrowave (21 titres),21,14,7,/app/playlists/reports/deduped/Synthwave__Retrowave_21_titres_deduped.m3u
Terrasse chill (120 titres),120,99,21,/app/playlists/reports/deduped/Terrasse_chill_120_titres_deduped.m3u
Top 100 plus écoutés,100,56,44,/app/playlists/reports/deduped/Top_100_plus_couts_deduped.m3u
Top Fun Radio (300 titres),300,263,37,/app/playlists/reports/deduped/Top_Fun_Radio_300_titres_deduped.m3u
Top NRJ (300 titres),300,177,123,/app/playlists/reports/deduped/Top_NRJ_300_titres_deduped.m3u
Top Radio RFM (300 titres),300,174,126,/app/playlists/reports/deduped/Top_Radio_RFM_300_titres_deduped.m3u
Travail & Focus (500 titres),500,418,82,/app/playlists/reports/deduped/Travail__Focus_500_titres_deduped.m3u
Vibes 2000s (158 titres),158,151,7,/app/playlists/reports/deduped/Vibes_2000s_158_titres_deduped.m3u
Vibes 2000s (458 titres),458,410,48,/app/playlists/reports/deduped/Vibes_2000s_458_titres_deduped.m3u
Vibes 2010s (296 titres),296,290,6,/app/playlists/reports/deduped/Vibes_2010s_296_titres_deduped.m3u
Vibes 2010s (500 titres),500,473,27,/app/playlists/reports/deduped/Vibes_2010s_500_titres_deduped.m3u
Vibes 2020s (393 titres),393,345,48,/app/playlists/reports/deduped/Vibes_2020s_393_titres_deduped.m3u
Vibes 60s (207 titres),207,134,73,/app/playlists/reports/deduped/Vibes_60s_207_titres_deduped.m3u
Vibes 60s (68 titres),68,45,23,/app/playlists/reports/deduped/Vibes_60s_68_titres_deduped.m3u
Vibes 70s (236 titres),236,172,64,/app/playlists/reports/deduped/Vibes_70s_236_titres_deduped.m3u
Vibes 70s (50 titres),50,50,0,/app/playlists/reports/deduped/Vibes_70s_50_titres_deduped.m3u
Vibes 80s (282 titres),282,246,36,/app/playlists/reports/deduped/Vibes_80s_282_titres_deduped.m3u
Vibes 90s (109 titres),109,107,2,/app/playlists/reports/deduped/Vibes_90s_109_titres_deduped.m3u
Vibes 90s (261 titres),261,241,20,/app/playlists/reports/deduped/Vibes_90s_261_titres_deduped.m3u
